cubetype,solvetype,time,date,steps,plustwo,blind,scrambleType,scramble,comment
3x3x3,"大歐派蘿莉",25.68,Jan 12 2019 - 13:38:11,,n,n,,"D B2 F2 D R2 D U2 R2 B2 L' U2 B2 U' B' U F R2 D' L' B2 ",
3x3x3,"大歐派蘿莉",24.06,Jan 12 2019 - 13:37:25,,n,n,,"D' U2 R2 D' U2 B2 L2 F2 L2 R' B' U' L D B2 L2 F' L D' L2 U' ",
3x3x3,"大歐派蘿莉",21.33,Jan 12 2019 - 13:36:42,,n,n,,"R2 U' R2 D L2 F2 D2 F2 R2 D' B D L' F2 R2 B' D F2 D' U R' ",
3x3x3,"大歐派蘿莉",24.34,Jan 12 2019 - 13:35:59,,n,n,,"D R2 U F2 L2 B2 R2 D U2 L2 D' R U2 F' L U B' F D' L2 U ",
3x3x3,"大歐派蘿莉",23.79,Jan 12 2019 - 13:35:04,,n,n,,"B2 L2 F2 U' B2 R2 D L2 R2 D U2 R' U F D F R' D2 R2 D' U ",
3x3x3,"大歐派蘿莉",22.33,Jan 12 2019 - 13:34:22,,n,n,,"B2 F2 D2 U L2 B2 D2 R2 F2 U F2 L F2 D' R2 U F' L F' L2 D' ",
3x3x3,"大歐派蘿莉",23.91,Jan 12 2019 - 13:33:34,,n,n,,"D L2 B2 U' L2 U' B2 F2 U L2 F' D2 U R F' L' D2 R2 U' L2 B ",
3x3x3,"大歐派蘿莉",34.73,Jan 12 2019 - 13:32:52,,n,n,,"D F2 D2 R2 U' L2 U' B2 F2 L2 U' R' B' U R' U' R F2 D2 F' D ",
3x3x3,"大歐派蘿莉",21.46,Jan 12 2019 - 13:31:55,,n,n,,"U' B2 D' R2 D' L2 F2 U B2 F2 U' L R' B' U R2 F' R' F2 U' L ",
3x3x3,"大歐派蘿莉",26.98,Jan 12 2019 - 13:31:14,,n,n,,"U' B2 R2 D' R2 B2 F2 U R2 D' R2 U R' U' L2 R2 B D2 R F' D2 ",
3x3x3,"大歐派蘿莉",22.67,Jan 12 2019 - 13:30:20,,n,n,,"U2 F2 R2 U' L2 B2 L2 B2 U2 F' L2 U B' F L U B2 L2 R2 U ",
