No.;Time;Comment;Scramble;Date;P.1
47;25.03;;L F2 L2 F2 U2 L' B2 L' F2 R B2 L' U F U' B' L' D F2 U L;2019-01-14 16:26:33;25.03
48;22.85;;L2 B' U' L2 F2 L2 D F2 U' B2 F2 D' L' R F L' B2 L2 U2 F2;2019-01-14 16:27:20;22.85
49;22.57;;D2 F2 U2 B R2 B L2 R2 D2 U2 F R2 D F L F' R' U2 L F' U;2019-01-14 16:28:52;22.57
50;29.36;;U' F2 L' F2 U2 L2 B2 U2 F2 U2 L U' L' B' L2 B2 U2 L' F';2019-01-14 16:29:42;29.36
51;24.28;;R2 F' L2 D2 R F B U L' B2 U' L2 B2 L2 U F2 D L2 B2 U F2;2019-01-14 16:30:41;24.28
52;23.73;;U R2 F2 D F2 D' R2 F2 D' R2 D R B' D2 F' D2 B' D L' U';2019-01-14 16:31:29;23.73
53;19.51;;L' D2 U2 B2 F2 R D2 L B2 R B2 D F' D2 R' F' R2 F' U' F2;2019-01-14 16:32:18;19.51
54;32.31;;B2 F2 D F2 D L2 F2 L2 B2 U L2 D2 L' B2 F' R B' D F2 L2 B';2019-01-14 16:32:57;32.31
55;20.84;;B2 U' B2 U B2 D2 L2 U F2 R2 L D B2 D2 F' U L2 D2 B2 L;2019-01-14 16:33:52;20.84
56;28.90;;F' R B2 U2 R F2 L D B2 R2 F2 U' F2 U B2 L2 D2 R2 L F;2019-01-14 16:34:31;28.90
57;28.12;;F2 R' D2 U2 R' B2 U2 R U2 F L R' U' F U2 B2 L' B2;2019-01-14 16:35:32;28.12
58;17.33;;B2 L' F' D R' L U F2 U2 R2 D2 L' D2 R U2 R B D';2019-01-14 16:36:16;17.33
59;21.89;;U' R2 B2 U' L2 U' R2 F2 D R2 U F R' B2 U L2 B F' U2 R B;2019-01-14 16:36:52;21.89
60;22.44;;L' R2 B' F2 L2 F' D2 F D2 F U2 B2 R' D R2 F' D' U' L F';2019-01-14 16:37:31;22.44
61;21.56;;L' F2 U R2 U2 B2 U' B2 L2 D' R U' B R' F' R' B2 U';2019-01-14 16:40:42;21.56
62;24.37;;U' F2 L' D2 R' F2 U2 L2 D2 R B2 R U' B R B U' B' F D2;2019-01-14 16:41:22;24.37
63;30.12;;B' L2 F2 D' B2 D L2 R2 B2 U' L2 U2 F U L D' R B D2 B' R2;2019-01-14 16:42:06;30.12
